Title,Handle,Description,Short Description,Highlights,Box Contents,Price (INR),Compare At Price (INR),Cost Price (INR),SKU,Barcode,Stock Quantity,Low Stock Threshold,Category Slug,Sub Category,Brand,Warehouse,Main Image URL,Gallery Images (JSON),Video URL,Color,Size,Material,Weight (kg),Dimensions (LxWxH cm),GST Rate (%),HSN Code,Country of Origin,Tags (Comma Separated),Meta Title,Meta Description,Is Featured (true/false)
OnePlus Nord 6 5G 12GB RAM 256GB,oneplus-nord-6-5g,"Snapdragon 8s Gen 4 processor with 165FPS gaming engine, 9000mAh battery, and 120W SuperVOOC flash charge.","Segment-first 165FPS gaming smartphone","165FPS Gaming, 9000mAh Battery, 120W Flash Charge, Sony LYT-808 OIS Camera","Mobile Device, 120W SuperVOOC Adapter, Type-C Cable, SIM Ejector Pin, Protective Case",44499,52999,38000,OP-N6-5G-256,890123456001,150,15,mobiles,Smartphones,OnePlus,BLR-WH-01,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9?w=800,"[""https://images.unsplash.com/photo-1511707171634-5f897ff02aa9?w=800"",""https://images.unsplash.com/photo-1523206489230-c012c64b2047?w=800""]",https://youtube.com/watch?v=demo1,Pitch Black,6.7 Inch,Glass & Aluminum,0.21,16.3 x 7.5 x 0.8,18,85171300,India,"mobiles, 5g, flagship, bestseller",OnePlus Nord 6 5G Price & Specs | Botmartz,Buy OnePlus Nord 6 5G with 165FPS gaming and 9000mAh battery at best price on Botmartz.,true
Apple iPhone 15 Pro Max 256GB Natural Titanium,iphone-15-pro-max-256gb,"Titanium design with A17 Pro chip, customizable Action button, and 5x Telephoto optical zoom camera.","Flagship Titanium smartphone with A17 Pro chip","A17 Pro Chip, Grade 5 Titanium, 48MP Main Camera, USB-C 3.0",Phone, Type-C Woven Charge Cable, Quick Start Guide,134900,159900,118000,APL-IP15PM-256,890123456002,80,10,mobiles,Smartphones,Apple,DEL-WH-02,https://images.unsplash.com/photo-1695048133142-1a20484d2569?w=800,"[""https://images.unsplash.com/photo-1695048133142-1a20484d2569?w=800""]",https://youtube.com/watch?v=demo2,Natural Titanium,6.7 Inch,Titanium & Glass,0.221,15.9 x 7.6 x 0.8,18,85171300,India,"mobiles, apple, iphone, premium",iPhone 15 Pro Max 256GB Natural Titanium | Botmartz,Buy iPhone 15 Pro Max Natural Titanium with 5x Optical Zoom camera on Botmartz.,true
Sony WH-1000XM5 Wireless ANC Headphones,sony-wh1000xm5-headphones,"Industry-leading Noise Cancellation with 2 processors, 8 microphones, and 30-hour battery life.","Studio-grade Active Noise Cancelling headphones","Industry-Leading ANC, 30H Battery, Speak-to-Chat, Hands-Free Alexa",Headphones, Carrying Case, Audio Cable, USB-C Cable,29990,34990,23000,SNY-WHXM5-BLK,890123456003,120,20,electronics,Audio & Headphones,Sony,BLR-WH-01,https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=800,"[""https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=800""]",https://youtube.com/watch?v=demo3,Midnight Black,Over-Ear,Synthetic Leather & Polymer,0.25,22 x 18 x 7,18,85183000,Malaysia,"electronics, audio, headphones, anc",Sony WH-1000XM5 ANC Headphones | Botmartz,Buy Sony WH-1000XM5 Noise Cancelling Headphones with 30-hour battery life on Botmartz.,true
Apple MacBook Air M3 13-inch 16GB 512GB,macbook-air-m3-13inch,"Strikingly thin laptop powered by the M3 chip with up to 18 hours of battery life and Liquid Retina display.","Ultralight M3 laptop with Liquid Retina display","Apple M3 Chip, 18-Hour Battery, MagSafe 3, 1080p FaceTime Camera",MacBook Air, 35W Dual USB-C Port Power Adapter, USB-C to MagSafe 3 Cable,134900,144900,115000,APL-MBA-M3-512,890123456004,60,5,laptops,Computers,Apple,BLR-WH-01,https://images.unsplash.com/photo-1517336714731-489689fd1ca8?w=800,"[""https://images.unsplash.com/photo-1517336714731-489689fd1ca8?w=800""]",https://youtube.com/watch?v=demo4,Space Grey,13.6 Inch,Unibody Aluminum,1.24,30.4 x 21.5 x 1.1,18,84713000,China,"laptops, macbook, apple, m3",MacBook Air M3 13-inch 512GB | Botmartz,Buy MacBook Air M3 13-inch 16GB 512GB SSD with Liquid Retina display on Botmartz.,true
Nike Air Jordan 1 Retro High OG Chicago,nike-air-jordan-1-chicago,"Iconic high-top basketball sneaker in classic Varsity Red, Black, and White colorway with premium leather upper.","Classic High-Top Leather Basketball Sneakers","Air Sole Unit, Premium Full-Grain Leather, Solid Rubber Outsole",Pair of Sneakers, Extra Black & White Laces, Collector Box,16995,19995,12000,NKE-AJ1-CHI-10,890123456005,95,15,footwear,Sneakers,Nike,MUM-WH-03,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=800,"[""https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=800""]",https://youtube.com/watch?v=demo5,Chicago Red/White,UK 9 / US 10,Genuine Leather,0.95,34 x 24 x 13,18,64039990,Vietnam,"footwear, sneakers, nike, jordan",Nike Air Jordan 1 Retro High OG | Botmartz,Shop Nike Air Jordan 1 Retro High OG Chicago with Air-Sole cushioning on Botmartz.,true
Samsung 55 Inch 4K Ultra HD Smart QLED TV,samsung-55inch-4k-qled-tv,"Quantum Dot technology for 100% Color Volume with Quantum HDR, AirSlim design, and Motion Xcelerator.", "55-inch 4K Smart QLED TV with Quantum HDR", "Quantum Processor 4K, Dual LED, Q-Symphony, SolarCell Remote", TV Unit, SolarCell Remote, Wall Mount Kit, Power Cable, Stand Base,54990,74990,44000,SAM-TV55-QLED,890123456006,40,5,electronics,Smart TVs,Samsung,DEL-WH-02,https://images.unsplash.com/photo-1593784991095-a205069470b6?w=800,"[""https://images.unsplash.com/photo-1593784991095-a205069470b6?w=800""]",https://youtube.com/watch?v=demo6,Titan Grey,55 Inch,Polymer & Metal,15.2,123.2 x 70.8 x 2.5,28,85287200,India,"electronics, tv, samsung, qled",Samsung 55-inch 4K Smart QLED TV | Botmartz,Buy Samsung 55 Inch 4K Smart QLED TV with Quantum HDR and SolarCell Remote on Botmartz.,true
Casio G-Shock GA-2100 Octagonal Chronograph,casio-gshock-ga2100-black,"Carbon Core Guard structure with tough resin octagonal bezel, 200m water resistance, and double LED light.", "Tough shock-resistant octagonal analog-digital watch", "Carbon Core Guard, 200M Water Resistant, World Time 31 Zones, 3-Yr Battery", Watch Unit, Tin Box, Warranty Card, Instruction Manual,8995,10995,6200,CSO-GA2100-1A,890123456007,200,25,watches,Sports Watches,Casio,BLR-WH-01,https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=800,"[""https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=800""]",https://youtube.com/watch?v=demo7,Stealth Black,45mm Case,Carbon & Resin,0.051,4.8 x 4.5 x 1.1,18,91021100,Japan,"watches, gshock, casio, sports",Casio G-Shock GA-2100 Octagonal Watch | Botmartz,Shop Casio G-Shock GA-2100 Octagonal watch with 200M water resistance on Botmartz.,false
Winter Heavy Trench Wool Overcoat Jacket,winter-trench-wool-overcoat,"Premium double-breasted trench overcoat crafted from Australian wool blend with soft viscose lining.", "Tailored double-breasted Australian wool trench coat", "Australian Wool Blend, Double Breasted, Windproof Notch Lapel, Inner Pockets", Overcoat, Fabric Garment Bag, Hanger,4999,7999,3100,BOT-WNT-OVC-XL,890123456008,110,15,fashion,Jackets & Coats,Botmartz Apparel,MUM-WH-03,https://images.unsplash.com/photo-1544441893-675973e31985?w=800,"[""https://images.unsplash.com/photo-1544441893-675973e31985?w=800""]",https://youtube.com/watch?v=demo8,Camel Brown,XL,Australian Wool Blend,1.4,45 x 35 x 6,12,62011100,India,"fashion, jacket, winter, coat",Winter Heavy Trench Wool Overcoat | Botmartz,Buy Men's Double Breasted Winter Trench Wool Overcoat on Botmartz.,false
Smart Digital Touch Air Fryer 5.5L,smart-digital-air-fryer-5l,"360-degree rapid air circulation technology for 90% less oil frying with 12 preset digital one-touch menus.","5.5 Liter oil-free digital air fryer with touchscreen","360° Air Circulation, 12 Presets, Non-Stick Basket, 1700W Rapid Heat", Air Fryer Base, Non-Stick Basket, Crisper Plate, Recipe Booklet,4999,8999,3200,BOT-AF55-DIG,890123456009,85,10,home,Kitchen Appliances,Botmartz Home,BLR-WH-01,https://images.unsplash.com/photo-1584568694244-14fbdf83bd30?w=800,"[""https://images.unsplash.com/photo-1584568694244-14fbdf83bd30?w=800""]",https://youtube.com/watch?v=demo9,Matte Black,5.5 Liters,Stainless Steel & BPA Free,4.8,32 x 32 x 35,18,85166000,India,"home, kitchen, airfryer, appliances",Smart Digital Touch Air Fryer 5.5L | Botmartz,Buy 5.5L Oil-Free Smart Digital Air Fryer with 12 Preset Modes on Botmartz.,false
Ergonomic High Back Mesh Office Chair,ergonomic-mesh-office-chair,"Heavy-duty ergonomic desk chair with 3D lumbar support, 3D armrests, breathable mesh back, and 135° tilt mechanism.", "Ergonomic high-back mesh chair with adjustable lumbar", "3D Adjustable Lumbar, 135° Recline Lock, Class 4 Gas Lift, BIFMA Certified", Chair Base, Backrest, Seat Cushion, Gas Lift, Armrests, Assembly Kit,6999,12999,4200,BOT-CH-ERG01,890123456010,70,10,home,Furniture,Botmartz Home,DEL-WH-02,https://images.unsplash.com/photo-1580481072645-022f9a6d83d0?w=800,"[""https://images.unsplash.com/photo-1580481072645-022f9a6d83d0?w=800""]",https://youtube.com/watch?v=demo10,Charcoal Black,Standard High Back,Korean Breathable Mesh,14.5,65 x 65 x 120,18,94013000,India,"home, furniture, chair, ergonomic",Ergonomic Mesh High Back Office Chair | Botmartz,Shop Ergonomic High Back Mesh Office Chair with 3D Lumbar Support on Botmartz.,false
